"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Palacios Y.B.; Zapata-Ros M.; Hiléra J.-R.","Palacios, Yamil Buenaño (57422453400); Zapata-Ros, Miguel (36477878800); Hiléra, José-Ramón (6505864219)","57422453400; 36477878800; 6505864219","Quality-based focused learning model for social and ubiquitous learning environments: A theoretical review; [Modelo de calidad centrado en el aprendizaje para entornos sociales y ubicuos de aprendizaje: Una revisión teórica]","2023","Revista de Educación a Distancia","23","72","8","","","","0","10.6018/red.544571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164740348&doi=10.6018%2fred.544571&partnerID=40&md5=70e9d64c485c744a2a220ee7281e6857","Quality models focused on learning for social and ubiquitous environments are practices that facilitate the construction of learning environments that, integrated with the social web, information technologies and smart mobile devices, will serve as a methodological strategy for the acquisition of a quality learning. Therefore, this article presents an exploration of research works, prior to another main one: Quality model centered on learning for social and ubiquitous learning environments. The objective is to obtain theoretical components that allow to adequately guide the way in which learning should be acquired. From the methodology, the verification technique is established in different topics and, on the other hand, the study of theories and learning regarding three approaches as supports for future research: instructional design, connected environments and mobile technologies. It can be concluded that this work will allow exploring connected, ubiquitous and quality-focused learning models. In the same way, it will serve as a guide to determine which other factors could have greater incidence and depth in terms of analysis in upcoming and future investigations. This article proposes actions that tend to formulate improvements and obtain quality focused on learning. © 2023 Universidad de Murcia. All rights reserved.","connected environments; Mobile technology; quality centered learning; Ubiquitous learning models","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164740348"
"Baig M.; González-Ceballos I.; Esteban-Guitart M.","Baig, Marc (58182758900); González-Ceballos, Irene (57217853363); Esteban-Guitart, Moisés (55215003100)","58182758900; 57217853363; 55215003100","360 Universities. Bridging social, educational and community agents across settings and time; [Universidades 360. La vinculación de tiempos, espacios y agentes sociales, educativos y comunitarios1]","2023","Revista de Educación a Distancia","23","74","5","","","","1","10.6018/red.540591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152410052&doi=10.6018%2fred.540591&partnerID=40&md5=005cd1df0f06c2156cf35ec821438840","The objective of this article is to describe and illustrate the “Universities 360 project”, which has the purpose of identifying, developing and evaluating experiences in higher education that involve close collaboration with the environment. The alliance and vision of ""Education 360 - full-time education"" stands as a hermeneutical framework of the proposal regarding the principles of learning throughout life, as well as the need to articulate social, educational and community agents across time and settings to promote sense learning with high both personal and social values. In particular, twelve experiences are illustrated that involve the implementation of different strategies (co-teaching, co-design, service-learning, challenge-based learning) aimed at contextualizing educational practice. This proposal is discussed in the framework of recent UNESCO reports around the © 2023 Universidad de Murcia. All rights reserved.","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152410052"
"Jordan K.; David R.; Phillips T.; Pellini A.","Jordan, Katy (55314576400); David, Raluca (57221343508); Phillips, Toby (57221254583); Pellini, Arnaldo (9435999000)","55314576400; 57221343508; 57221254583; 9435999000","Education during the Covid-19 crisis: Opportunities and constraints of using EdTech in low-income countries","2021","Revista de Educación a Distancia","21","65","2","","","","28","10.6018/RED.453621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107995501&doi=10.6018%2fRED.453621&partnerID=40&md5=0a6f34c20d3237913582d344fee3c173","The Covid-19 pandemic has ushered in a period of educational disruption on an unprecedented scale. During this time of crisis, education will not be business as usual, and EdTech alone cannot close the learning gap. It will be dedicated teachers and resilient educators who will ensure learning doesn't stop - but they could be helped by the right EdTech tools. However, the digital divide means that internet and mobile network access varies greatly in middle and low-income countries. In this discussion paper, we explore some of the key constraints of using EdTech at scale to support education in low-income countries at a time of crisis, and highlight the opportunities that have so far emerged, in a rapidly-changing context. We draw upon evidence and examples to inform policy and programming decisions, moving from the initial emergency response to building resilience in the longer term, and planning to diagnose and treat the learning gaps that have emerged during the crisis. © 2021 Universidad de Murcia. All rights reserved.","EdTech; Educational disruption by covid-19; Low-income countries","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107995501"
"Sancho M.S.; Delgado Ma.P.N.","Sancho, María Santamarina (57202803306); Delgado, Ma. Pilar Núñez (38261188500)","57202803306; 38261188500","Contributions of argumentative discourse analysis to the understanding of teachers' thinking: a case study of oral language teaching in early childhood education; [Aportaciones del análisis del discurso argumentativo a la comprensión del pensamiento docente: estudio de casos sobre la enseñanza de la lengua oral en Educación Infantil]","2023","Revista de Educación a Distancia","23","75","3","","","","0","10.6018/red.545001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158820666&doi=10.6018%2fred.545001&partnerID=40&md5=8b11ee58875384a3aadac3586e9a2db7","This paper presents an ethnographic research on the teaching of oral language in early childhood education designed as a case study. The main objective is to gain access to the representations and theoretical and practical knowledge about the teaching of oral skills of teachers at this stage through the analysis of the argumentative discourse they display when giving an account of their decisions and actions. The instrument used was a semi-structured clinical interview, on which two types of study were carried out: one focused on the systematisation of the categories and meta-categories present in the content of the statements, and the other looked in depth at the discursive mechanisms employed. The results highlight the fact that these teachers believe that their training is not sufficient for a more complete teaching of oral skills and that the work done on these skills in pre-school education is lost in primary education due to a lack of coordination. The conclusions point to the need to improve the training of these teachers in relation to the epistemology of oral competence and its didactics, as well as to promote more research to guide innovation in this area. © 2023 Universidad de Murcia. All rights reserved.","argumentative discourse; early childhood education; oral language; teacher training; teaching thinking","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85158820666"
"Bazerman C.","Bazerman, Charles (16229605200)","16229605200","Reproduction, Critique, Expression, and Cooperation: The writer’s dance in an intertextual world; [Reproducción, crítica, expresión y cooperación: la danza del escritor en un mundo intertextual]","2023","Revista de Educación a Distancia","23","75","1","","","","0","10.6018/red.543471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158828428&doi=10.6018%2fred.543471&partnerID=40&md5=52507d429e165578d595f2c9b3c7dc1c","Schooling, of course, introduces students to educational texts that convey rich cultural heritages and knowledge. But not everything our forebears tell us is the full or accurate truth, always applicable, always to be trusted. Nor is making of knowledge at an end. Authoritative words conflict with each other, have limits, and bear ideologies and interests. We and our students have to become wise critics and skeptics through critical analysis and argument. But we also then need to develop our own point of view, embodying our experiences, perspectives, needs, and interests. Writing education can foster finding our voices and elaborating our ideas and points of view. Yet another step is to share and cooperate with others as part of communal endeavors of extending knowledge, carrying out original research to gain new research, and participating in constantly evolving institutions and organizations. Writing education can help students work within genre and activity systems to make their unique contributions even as changing technology and social systems transform the skills needed for effective writing to develop thinking, feeling, and identities within our complex intertextual social world. © 2023 Universidad de Murcia. All rights reserved.","academic writing; argumentation; critical expression; intertextuality; social genres","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158828428"
"Maskur R.; Suherman S.; Andari T.; Anggoro B.S.; Muhammad R.R.; Untari E.","Maskur, Ruhban (57208306819); Suherman, Suherman (57426277600); Andari, Tri (57211925410); Anggoro, Bambang Sri (57208303294); Muhammad, Rosida Rakhmawati (57972081100); Untari, Erny (57971601700)","57208306819; 57426277600; 57211925410; 57208303294; 57972081100; 57971601700","The Comparison of STEM approach and SSCS Learning Model for Secondary School-Based on K-13 Curriculum: The Impact on Creative and Critical Thinking Ability","2022","Revista de Educación a Distancia","22","70","507701","","","","5","10.6018/red.507701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142236674&doi=10.6018%2fred.507701&partnerID=40&md5=235d4e61d306c0fe8b5fa3725ffb8db2","In the 21st century, the significance of competencies is increasing in our everyday lives and in the labor market. Such complex competencies like critical and creative thinking is a topic that are becoming more and more relevant. In the past, researchers have shown a direct link between creative thinking and teaching methods. The project will apply a STEM research method throughout the study and comparing SSCS learning. The study focuses on the critical examination of specific assignments and students' critical and creative thinking. In this study, researchers used prisms and pyramids as stimuli for 125 students to evaluate their imagination. This study uses a quasi-experimental design to explore a different hypothesis about the link between STEM and SSCS on student creativity and critical thinking. To determine whether or not the data collection technique can assist students in improving their critical and creative thinking, it has been put through its paces. MANOVA has been shown to be effective in testing hypotheses in several studies. Compared to the SSCS learning model, the STEM-based K-13 curriculum positively impacts critical and creative thinking. It can be concluded that the STEM approach, as opposed to the SSCS model, can be used as an alternative solution for learning in the industrial era 4.0. © 2022 Universidad de Murcia. All rights reserved.","creative thinking; critical thinking; curriculum; SSCS; STEM","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142236674"
"Pinto-Santos A.R.; Garcias A.P.","Pinto-Santos, Alba Ruth (57209295928); Garcias, Adolfina Pérez (56009172700)","57209295928; 56009172700","Curriculum management and development of teaching digital competence in initial teacher training; [Gestión curricular y desarrollo de la competencia digital docente en la formación inicial del profesorado]","2022","Revista de Educación a Distancia","22","69","","","","","3","10.6018/RED.493551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140589862&doi=10.6018%2fRED.493551&partnerID=40&md5=2ed6169bfb19efd809ae85a6026480c5","This paper analyzes the impact of the curricular management of Initial Teacher Training (ITT) curriculum has on the development of the Teaching Digital Competence (TDC) of future teachers. For this purpose, at the methodological level, an evaluative research approach was implemented. The sample was made up of students (n: 153) from the bachelor of early childhood education program at the University of La Guajira. The data collection instruments used were an observation sheet of indicators of curricular management, and a rubric to evaluate the teaching digital competence. The results show that there are at the curricular level, objectives and subjects that guide pedagogical training in the educational use of digital technology. However, in the assessment of TDC in students, they are located at the lowest levels of the rubric, with 37.3% at the Lower level, and 30.7% at the Low level. It is concluded that trends in educational innovation and integrative processes of the TDC are not reflected, and that there is a need to strengthen the training processes in the ITT so that future teachers develop the competencies that allow an effective use of digital technology to professional level. © 2022 Universidad de Murcia. All rights reserved.","Curricular Management; Early Childhood Education; Evaluative Research; Initial Teacher Training (ITT); Teaching Digital Competence (TDC)","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140589862"
"Polly D.; Recesso A.; Hannafin M.J.","Polly, Drew (27467665600); Recesso, Art (6506266391); Hannafin, Michael J. (6603617950)","27467665600; 6506266391; 6603617950","Considering How to Use First Principles of Instruction and Video Technologies to Support Teachers' Professional Learning in Mathematics Education","2021","Revista de Educación a Distancia","21","68","487791","","","","0","10.6018/RED.487791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123532567&doi=10.6018%2fRED.487791&partnerID=40&md5=df75d909e6b6503cbf6110490429a208","Merrill's First Principles of Instruction provide a framework for the design of learner-centered instruction. In this article we examine how those Principles of Instruction provide a framework to examine effective ways to leverage the use of video technologies to enhance the design and implement professional learning for mathematics teachers. We synthesize the First Principles of Instruction, the Launch-Explore-Discuss lesson cycle in mathematics (Polly, 2017b; Tools4NCTeachers, n.d.), and principles of learner-centered professional learning (Polly & Hannafin, 2010). We then describe vignettes about how video technologies can enhance professional learning experiences that align to the First Principles of Instruction and learner-centered professional learning. We close with implications and recommendations for research and practice for future endeavors. © 2021 Universidad de Murcia. All rights reserved.","Mathematics education; Principles of instruction; Teachers' professional learning; Video technologies","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123532567"
"Arango-Vásquez S.I.; Manrique-Losada B.","Arango-Vásquez, Sandra Isabel (57216320571); Manrique-Losada, Bell (55258422300)","57216320571; 55258422300","Communicative interactions and collaboration mediated by virtual university learning environments; [Interacciones comunicativas y colaboración mediada por entornos virtuales de aprendizaje universitarios]","2023","Revista de Educación a Distancia","23","76","6","","","","0","10.6018/red.544981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169885829&doi=10.6018%2fred.544981&partnerID=40&md5=ca5468ae792f1c23b9038916b0c1ba6f","Teaching and learning scenarios have changed in recent years, surpassing spatial and temporal barriers, mainly due to the pandemic. Virtual Learning Environments (VLEs) have prevailed over face-to-face settings, with technology-mediated education taking on a leading role and giving rise to new forms of knowledge construction and interaction among educational stakeholders. Although new opportunities for interaction exist, the low student participation in VLEs has motivated research aimed to identify alternatives to increase collaboration in e-learning platforms. This article presents the results of a research oriented to how to foster or enhance communicative interactions and collaboration mediated by ICTs in VLEs. The research was conducted using a qualitative perspective with a hermeneutic methodological approach. For this survey, 124 primary studies and 42 VLEs from the Academic UVirtual platform of the University of Medellín, Colombia, were systematized. As part of the results, the following factors were identified: didactic, mediation, technological, and motivation-feedback, which can facilitate communication and collaboration. Such factors also facilitate: (1) the characterization of communicative interactions to promote collaboration; (2) the definition of actions aimed at fostering critical thinking and self-learning skills, and continuous/flexible teacher-student development; and (3) the implementation of enriched VLEs using online tools. © 2023 Universidad de Murcia. All rights reserved.","collaboration; communication technologies; communicative interactions; information; virtual learning environment","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85169885829"
"Chiappe A.; Amaral M.","Chiappe, Andrés (22833507400); Amaral, Monique (57224111799)","22833507400; 57224111799","MOOC in a timeline: A systematic literature review; [Los MOOC en la línea del tiempo: Una revisión sistemática de literatura]","2021","Revista de Educación a Distancia","21","66","7","","","","6","10.6018/RED.438701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107012106&doi=10.6018%2fRED.438701&partnerID=40&md5=6149b19b6b3f3920ceb27909960533d6","Massive and open online courses (MOOC) have become an emerging educational phenomenon with enormous potential for educational transformation and democratization. After almost a decade of its first launch, a great deal of research has been carried out to try to understand its scope and limitations as a flexible and personalized learning instrument. In order to increase such understanding, a systematic review of literature on studies published between 2009 and 2019 about MOOCs has been carried out. A 6-step method was applied to review 486 studies, based on filtering, abstracting, in-depth reading and data extraction and interpretation processes. The results show a large number and diversity of research focuses on MOOCs, some booming, others in decline and others of ephemeral nature. Among them are the Open Educational Practices, the design of MOOCs, the generation of engagement, dropout and connectivism. The research focuses represent the main concerns of educators and researchers regarding what appears to be the advent of a new educational order, which currently supports lifelong learning and future learning environments framed in society 4.0. © 2021 Universidad de Murcia. All rights reserved.","Digital learning environments; Lifelong learning; MOOC; Systematic literature review","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85107012106"
